#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[21-06-2023T21:57:04.683 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\BaseFrameWork\Password\Sample/execution-reports/Execution_Report-21-06-2023T21_56_46_000\Test(210621626)\execution_log.txt ...
[21-06-2023T21:57:04.696 | main] INFO       ... Initiating new Test Scenario: Test to verify User can Login with the correct Username and Password ...
[21-06-2023T21:57:04.697 | main] INFO       ... Configuring WebDriver ...
[21-06-2023T21:57:04.702 | main] INFO       ... Selenium run-time environment identified as "local" ...
[21-06-2023T21:57:04.704 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[21-06-2023T21:57:04.718 | main] INFO       ... Setting Windows Platform Capabilities: ...
[21-06-2023T21:57:04.721 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[21-06-2023T21:57:04.745 | main] INFO       ... Creating WebDriver for Chrome browser compatibility ...
[21-06-2023T21:57:07.826 | main] INFO       ... No browser tab currently allocated for the Login Page page ...
[21-06-2023T21:57:07.828 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Login Page page ...
[21-06-2023T21:57:07.839 | main] INFO       ... Browser tab (28A04B16127C4EF1AEBD433FBBA0B485) allocated to the Login Page page ...
[21-06-2023T21:57:09.477 | main] INFO       ... Successful response: HTTP 200 from https://www.saucedemo.com/ ...
[21-06-2023T21:57:09.478 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:57:10.670 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:57:11.243 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:57:13.257 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:57:14.047 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:57:14.706 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:57:15.106 | main] INFO       ... SCENARIO PASSED ...
[21-06-2023T21:57:15.106 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[21-06-2023T21:57:15.106 | main] INFO       ... Capturing Pass Screenshot ...
[21-06-2023T21:57:15.432 | main] INFO       ... Shutting down WebDriver gracefully ...
[21-06-2023T21:57:16.136 | main] INFO       ... WebDriver killed ...
